chrom	start	end	GC_percent	N_count	N_percent	genes	genes_per_Mb
CM065577.1	1900000	1950000	52.714	0	0	4	80
CM065577.1	1950000	2000000	51.456	0	0	5	100
CM065577.1	2000000	2031852	54.1661	0	0	5	100
CM065578.1	0	50000	46.58	0	0	3	60
CM065578.1	50000	100000	55.898	0	0	9	180
CM065578.1	100000	150000	54.596	0	0	4	80
CM065578.1	150000	200000	51.07	0	0	8	160
CM065578.1	200000	250000	53.752	0	0	2	40
CM065578.1	250000	300000	53.67	0	0	3	60
CM065578.1	300000	350000	49.85	0	0	3	60
CM065578.1	350000	400000	51.428	0	0	3	60
CM065578.1	400000	450000	52.656	0	0	3	60
CM065578.1	450000	500000	52.64	0	0	5	100
CM065578.1	500000	550000	51.296	0	0	1	20
CM065578.1	550000	600000	51.908	0	0	5	100
CM065578.1	600000	650000	52.178	0	0	5	100
CM065578.1	650000	700000	52.09	0	0	3	60
CM065578.1	700000	750000	52.196	0	0	4	80
CM065578.1	750000	800000	53.364	0	0	2	40
CM065578.1	800000	850000	50.442	0	0	3	60
CM065578.1	850000	900000	50.726	0	0	5	100
CM065578.1	900000	950000	51.18	0	0	4	80
CM065578.1	950000	1000000	51.48	0	0	6	120
CM065578.1	1000000	1050000	50.308	0	0	5	100
CM065578.1	1050000	1100000	51.74	0	0	5	100
CM065578.1	1100000	1150000	52.884	0	0	4	80
CM065578.1	1150000	1200000	53.238	0	0	2	40
CM065578.1	1200000	1250000	52.854	0	0	4	80
CM065578.1	1250000	1300000	50.422	0	0	4	80
CM065578.1	1300000	1350000	49.546	0	0	2	40
CM065578.1	1350000	1400000	49.022	0	0	2	40
CM065578.1	1400000	1450000	51.422	0	0	4	80
CM065578.1	1450000	1500000	50.614	0	0	5	100
CM065578.1	1500000	1550000	49.872	0	0	8	160
CM065578.1	1550000	1600000	52.724	0	0	3	60
CM065578.1	1600000	1650000	50.188	0	0	6	120
CM065578.1	1650000	1700000	49.95	0	0	4	80
CM065578.1	1700000	1750000	51.924	0	0	4	80
CM065578.1	1750000	1800000	54.166	0	0	3	60
CM065578.1	1800000	1850000	51.688	0	0	8	160
CM065578.1	1850000	1900000	53.47	0	0	7	140
CM065578.1	1900000	1950000	49.322	0	0	4	80
CM065578.1	1950000	2000000	50.406	0	0	4	80
CM065578.1	2000000	2050000	51.81	0	0	3	60
CM065578.1	2050000	2100000	52.08	0	0	4	80
CM065578.1	2100000	2150000	54.778	0	0	3	60
CM065578.1	2150000	2200000	52.414	0	0	3	60
CM065578.1	2200000	2250000	51.844	0	0	2	40
CM065578.1	2250000	2300000	51.698	0	0	8	160
CM065578.1	2300000	2350000	50.55	0	0	3	60
CM065578.1	2350000	2400000	50.426	0	0	3	60
CM065578.1	2400000	2450000	52.204	0	0	6	120
CM065578.1	2450000	2450754	55.8355	0	0	0	0
CM065579.1	0	50000	53.106	0	0	8	160
CM065579.1	50000	100000	55.122	0	0	1	20
CM065579.1	100000	150000	51.696	0	0	5	100
CM065579.1	150000	200000	51.184	0	0	4	80
CM065579.1	200000	250000	53.094	0	0	5	100
CM065579.1	250000	300000	51.652	0	0	4	80
CM065579.1	300000	350000	51.866	0	0	6	120
CM065579.1	350000	400000	53.462	0	0	9	180
CM065579.1	400000	450000	51.382	0	0	5	100
CM065579.1	450000	500000	53.042	0	0	5	100
CM065579.1	500000	550000	52.968	0	0	4	80
CM065579.1	550000	600000	53.072	0	0	2	40
CM065579.1	600000	650000	51.936	0	0	5	100
CM065579.1	650000	700000	55.35	0	0	3	60
CM065579.1	700000	750000	52.534	0	0	4	80
CM065579.1	750000	800000	50.864	0	0	6	120
CM065579.1	800000	850000	52.756	0	0	6	120
CM065579.1	850000	900000	50.836	0	0	6	120
CM065579.1	900000	950000	52.864	0	0	3	60
CM065579.1	950000	1000000	52.77	0	0	2	40
CM065579.1	1000000	1050000	53.484	0	0	6	120
CM065579.1	1050000	1100000	52.202	0	0	6	120
CM065579.1	1100000	1150000	51.038	0	0	6	120
CM065579.1	1150000	1200000	56.354	0	0	3	60
CM065579.1	1200000	1250000	53.692	0	0	5	100
CM065579.1	1250000	1300000	55.804	0	0	3	60
CM065579.1	1300000	1350000	53.162	0	0	6	120
CM065579.1	1350000	1400000	52.636	0	0	3	60
CM065579.1	1400000	1450000	50.812	0	0	6	120
CM065579.1	1450000	1500000	52.804	0	0	5	100
CM065579.1	1500000	1550000	51.37	0	0	4	80
CM065579.1	1550000	1600000	53.554	0	0	5	100
CM065579.1	1600000	1650000	51.142	0	0	4	80
CM065579.1	1650000	1700000	51.466	0	0	3	60
CM065579.1	1700000	1750000	50.804	0	0	5	100
CM065579.1	1750000	1800000	51.674	0	0	4	80
CM065579.1	1800000	1850000	54.418	0	0	2	40
CM065579.1	1850000	1900000	51.378	0	0	3	60
CM065579.1	1900000	1950000	52.248	0	0	5	100
CM065579.1	1950000	2000000	52.726	0	0	5	100
CM065579.1	2000000	2050000	51.124	0	0	6	120
CM065579.1	2050000	2100000	56.904	0	0	6	120
CM065579.1	2100000	2150000	53.744	0	0	7	140
CM065579.1	2150000	2200000	54.42	0	0	3	60
CM065579.1	2200000	2250000	52.36	0	0	3	60
CM065579.1	2250000	2300000	52.944	0	0	4	80
CM065579.1	2300000	2350000	51.206	0	0	3	60
CM065579.1	2350000	2400000	52.446	0	0	3	60
CM065579.1	2400000	2450000	53.416	0	0	4	80
CM065579.1	2450000	2500000	51.264	0	0	5	100
CM065579.1	2500000	2550000	55.582	0	0	2	40
CM065579.1	2550000	2600000	53.426	0	0	5	100
CM065579.1	2600000	2643058	52.8891	0	0	6	120
CM065580.1	0	50000	54.774	0	0	9	180
CM065580.1	50000	100000	50.22	0	0	5	100
CM065580.1	100000	150000	52.234	0	0	4	80
CM065580.1	150000	200000	51.552	0	0	4	80
CM065580.1	200000	250000	52.812	0	0	4	80
CM065580.1	250000	300000	51.694	0	0	6	120
CM065580.1	300000	350000	52.708	0	0	4	80
CM065580.1	350000	400000	52.19	0	0	4	80
CM065580.1	400000	450000	51.452	0	0	6	120
CM065580.1	450000	500000	51.724	0	0	4	80
CM065580.1	500000	550000	52.328	0	0	5	100
CM065580.1	550000	600000	51.522	0	0	4	80
CM065580.1	600000	650000	52.018	0	0	4	80
CM065580.1	650000	700000	51.298	0	0	5	100
CM065580.1	700000	750000	52.356	0	0	3	60
CM065580.1	750000	800000	51.388	0	0	5	100
CM065580.1	800000	850000	53.916	0	0	3	60
CM065580.1	850000	900000	53.634	0	0	3	60
CM065580.1	900000	950000	53.346	0	0	2	40
CM065580.1	950000	1000000	53.2	0	0	3	60
CM065580.1	1000000	1050000	52.11	0	0	3	60
CM065580.1	1050000	1100000	53.73	0	0	3	60
CM065580.1	1100000	1150000	51.928	0	0	6	120
CM065580.1	1150000	1200000	50.76	0	0	4	80
CM065580.1	1200000	1250000	49.71	0	0	4	80
CM065580.1	1250000	1300000	52.156	0	0	3	60
CM065580.1	1300000	1350000	54.4	0	0	4	80
CM065580.1	1350000	1400000	55.662	0	0	4	80
CM065580.1	1400000	1450000	52.712	0	0	2	40
CM065580.1	1450000	1500000	54.59	0	0	5	100
CM065580.1	1500000	1550000	53.05	0	0	7	140
CM065580.1	1550000	1600000	53.674	0	0	2	40
CM065580.1	1600000	1650000	52.51	0	0	5	100
CM065580.1	1650000	1700000	52.506	0	0	6	120
CM065580.1	1700000	1750000	52.356	0	0	6	120
CM065580.1	1750000	1800000	50.036	0	0	5	100
CM065580.1	1800000	1850000	52.244	0	0	4	80
CM065580.1	1850000	1900000	52.142	0	0	3	60
CM065580.1	1900000	1950000	52.768	0	0	2	40
CM065580.1	1950000	2000000	50.752	0	0	3	60
CM065580.1	2000000	2050000	52.068	0	0	5	100
CM065580.1	2050000	2100000	53.45	0	0	6	120
CM065580.1	2100000	2150000	55.156	0	0	3	60
CM065580.1	2150000	2200000	49.256	0	0	3	60
CM065580.1	2200000	2250000	52.386	0	0	5	100
CM065580.1	2250000	2300000	51.24	0	0	4	80
CM065580.1	2300000	2350000	50.82	0	0	7	140
CM065580.1	2350000	2400000	50.972	0	0	3	60
CM065580.1	2400000	2450000	53.286	0	0	2	40
CM065580.1	2450000	2500000	51.376	0	0	3	60
CM065580.1	2500000	2550000	53.64	0	0	2	40
CM065580.1	2550000	2600000	54.302	0	0	6	120
CM065580.1	2600000	2650000	52.008	0	0	1	20
CM065580.1	2650000	2695256	51.7147	0	0	3	60
CM065581.1	0	50000	56.052	0	0	6	120
CM065581.1	50000	100000	52.122	0	0	4	80
CM065581.1	100000	150000	52.132	0	0	5	100
CM065581.1	150000	200000	53.738	0	0	6	120
CM065581.1	200000	250000	53.152	0	0	3	60
CM065581.1	250000	300000	55.078	0	0	4	80
CM065581.1	300000	350000	51.824	0	0	6	120
CM065581.1	350000	400000	53.462	0	0	3	60
CM065581.1	400000	450000	51.532	0	0	2	40
CM065581.1	450000	500000	54.278	0	0	5	100
CM065581.1	500000	550000	52.898	0	0	5	100
CM065581.1	550000	600000	50.828	0	0	5	100
CM065581.1	600000	650000	54.046	0	0	6	120
CM065581.1	650000	700000	56.092	0	0	5	100
CM065581.1	700000	750000	50.662	0	0	4	80
CM065581.1	750000	800000	51.574	0	0	3	60
CM065581.1	800000	850000	56.278	0	0	4	80
CM065581.1	850000	900000	53.4	0	0	1	20
CM065581.1	900000	950000	55.638	0	0	3	60
CM065581.1	950000	1000000	55.044	0	0	3	60
CM065581.1	1000000	1050000	51.3	0	0	3	60
CM065581.1	1050000	1100000	50.34	0	0	9	180
CM065581.1	1100000	1150000	49.932	0	0	4	80
CM065581.1	1150000	1200000	51.824	0	0	7	140
CM065581.1	1200000	1250000	49.924	0	0	5	100
CM065581.1	1250000	1300000	51.65	0	0	6	120
CM065581.1	1300000	1350000	49.868	0	0	1	20
CM065581.1	1350000	1400000	50.35	0	0	4	80
CM065581.1	1400000	1450000	53.67	0	0	5	100
CM065581.1	1450000	1500000	52.484	0	0	6	120
CM065581.1	1500000	1550000	51.258	0	0	5	100
CM065581.1	1550000	1600000	51.408	0	0	6	120
CM065581.1	1600000	1650000	52.026	0	0	2	40
CM065581.1	1650000	1700000	48.968	0	0	6	120
CM065581.1	1700000	1750000	51.334	0	0	9	180
CM065581.1	1750000	1800000	51.768	0	0	8	160
CM065581.1	1800000	1850000	50.786	0	0	7	140
CM065581.1	1850000	1900000	55.862	0	0	5	100
CM065581.1	1900000	1950000	56.04	0	0	3	60
CM065581.1	1950000	2000000	51.448	0	0	6	120
CM065581.1	2000000	2050000	51.512	0	0	3	60
CM065581.1	2050000	2100000	50.768	0	0	3	60
CM065581.1	2100000	2150000	50.766	0	0	3	60
CM065581.1	2150000	2200000	52.658	0	0	2	40
CM065581.1	2200000	2250000	53.234	0	0	6	120
CM065581.1	2250000	2300000	50.892	0	0	4	80
CM065581.1	2300000	2350000	51.594	0	0	3	60
CM065581.1	2350000	2400000	53.692	0	0	4	80
CM065581.1	2400000	2450000	50.98	0	0	5	100
CM065581.1	2450000	2500000	51.534	0	0	6	120
CM065581.1	2500000	2550000	51.576	0	0	5	100
CM065581.1	2550000	2600000	51.626	0	0	3	60
CM065581.1	2600000	2650000	54.138	0	0	3	60
CM065581.1	2650000	2700000	51.096	0	0	4	80
CM065581.1	2700000	2750000	51.65	0	0	5	100
CM065581.1	2750000	2800000	53.178	0	0	2	40
CM065581.1	2800000	2850000	50.888	0	0	2	40
CM065581.1	2850000	2900000	51.52	0	0	2	40
CM065581.1	2900000	2950000	51.264	0	0	3	60
CM065581.1	2950000	3000000	52.042	0	0	4	80
CM065581.1	3000000	3050000	52.354	0	0	3	60
CM065581.1	3050000	3100000	54.422	0	0	5	100
CM065581.1	3100000	3150000	50.196	0	0	4	80
CM065581.1	3150000	3200000	54.138	0	0	7	140
CM065581.1	3200000	3250000	54.184	0	0	5	100
CM065581.1	3250000	3300000	55.666	0	0	3	60
CM065581.1	3300000	3350000	53.974	0	0	1	20
CM065581.1	3350000	3400000	56.74	0	0	1	20
CM065581.1	3400000	3439191	55.8878	0	0	3	60
CM065582.1	0	50000	19.772	0	0	2	40
CM065582.1	50000	100000	22.958	0	0	1	20
CM065582.1	100000	150000	41.292	0	0	3	60
CM065582.1	150000	200000	51.396	0	0	3	60
CM065582.1	200000	250000	50.204	0	0	5	100
CM065582.1	250000	300000	51.32	0	0	7	140
CM065582.1	300000	350000	54.35	0	0	6	120
CM065582.1	350000	400000	50.496	0	0	9	180
CM065582.1	400000	450000	53.002	0	0	3	60
CM065582.1	450000	500000	51.298	0	0	4	80
CM065582.1	500000	550000	54.286	0	0	3	60
CM065582.1	550000	600000	51.976	0	0	4	80
CM065582.1	600000	650000	52.424	0	0	5	100
CM065582.1	650000	700000	52.328	0	0	4	80
CM065582.1	700000	750000	52.828	0	0	3	60
CM065582.1	750000	800000	56.244	0	0	2	40
CM065582.1	800000	850000	50.392	0	0	4	80
CM065582.1	850000	900000	49.694	0	0	4	80
CM065582.1	900000	950000	49.846	0	0	6	120
CM065582.1	950000	1000000	52.926	0	0	5	100
CM065582.1	1000000	1050000	50.052	0	0	6	120
CM065582.1	1050000	1100000	50.194	0	0	6	120
CM065582.1	1100000	1150000	51.042	0	0	7	140
CM065582.1	1150000	1200000	53.942	0	0	3	60
CM065582.1	1200000	1250000	53.134	0	0	5	100
CM065582.1	1250000	1300000	51.208	0	0	2	40
CM065582.1	1300000	1350000	54.626	0	0	8	160
CM065582.1	1350000	1400000	52.266	0	0	4	80
CM065582.1	1400000	1450000	51.124	0	0	9	180
CM065582.1	1450000	1500000	50.374	0	0	7	140
CM065582.1	1500000	1550000	49.78	0	0	3	60
CM065582.1	1550000	1600000	49.636	0	0	7	140
CM065582.1	1600000	1650000	52.642	0	0	5	100
CM065582.1	1650000	1700000	52.808	0	0	4	80
CM065582.1	1700000	1750000	51.878	0	0	4	80
CM065582.1	1750000	1800000	51.632	0	0	2	40
CM065582.1	1800000	1850000	52.636	0	0	5	100
CM065582.1	1850000	1900000	54.058	0	0	5	100
CM065582.1	1900000	1950000	51.144	0	0	2	40
CM065582.1	1950000	2000000	53.46	0	0	1	20
CM065582.1	2000000	2050000	51.388	0	0	5	100
CM065582.1	2050000	2100000	53.644	0	0	4	80
CM065582.1	2100000	2150000	49.932	0	0	4	80
CM065582.1	2150000	2200000	51.16	0	0	4	80
CM065582.1	2200000	2250000	51.302	0	0	4	80
CM065582.1	2250000	2300000	55.144	0	0	5	100
CM065582.1	2300000	2350000	51.47	0	0	2	40
CM065582.1	2350000	2400000	51.56	0	0	5	100
CM065582.1	2400000	2450000	52.828	0	0	2	40
CM065582.1	2450000	2500000	50.892	0	0	5	100
CM065582.1	2500000	2550000	52.648	0	0	2	40
CM065582.1	2550000	2600000	52.466	0	0	8	160
CM065582.1	2600000	2650000	50.662	0	0	3	60
CM065582.1	2650000	2700000	52.134	0	0	3	60
CM065582.1	2700000	2750000	50.982	0	0	3	60
CM065582.1	2750000	2800000	52.718	0	0	4	80
CM065582.1	2800000	2850000	51.982	0	0	5	100
CM065582.1	2850000	2900000	51.352	0	0	8	160
CM065582.1	2900000	2950000	52.178	0	0	6	120
CM065582.1	2950000	3000000	48.942	0	0	3	60
CM065582.1	3000000	3050000	50.832	0	0	4	80
CM065582.1	3050000	3100000	51.868	0	0	5	100
CM065582.1	3100000	3150000	51.294	0	0	1	20
CM065582.1	3150000	3200000	51.842	0	0	4	80
CM065582.1	3200000	3250000	54.162	0	0	4	80
CM065582.1	3250000	3300000	51.12	0	0	2	40
CM065582.1	3300000	3350000	52.744	0	0	4	80
CM065582.1	3350000	3400000	50.044	0	0	6	120
CM065582.1	3400000	3450000	52.61	0	0	6	120
CM065582.1	3450000	3500000	52.794	0	0	4	80
CM065582.1	3500000	3550000	52.504	0	0	3	60
CM065582.1	3550000	3600000	50.976	0	0	2	40
CM065582.1	3600000	3650000	54.06	0	0	4	80
CM065582.1	3650000	3700000	51.406	0	0	5	100
CM065582.1	3700000	3750000	51.116	0	0	2	40
CM065582.1	3750000	3800000	53.9	0	0	6	120
CM065582.1	3800000	3802196	55.4189	0	0	1	20
CM065583.1	0	50000	54.546	0	0	10	200
CM065583.1	50000	100000	53.42	0	0	9	180
CM065583.1	100000	150000	50.796	0	0	4	80
CM065583.1	150000	200000	50.996	0	0	4	80
CM065583.1	200000	250000	51.55	0	0	5	100
CM065583.1	250000	300000	54.174	0	0	4	80
CM065583.1	300000	350000	54.104	0	0	3	60
CM065583.1	350000	400000	50.744	0	0	3	60
CM065583.1	400000	450000	53.692	0	0	3	60
CM065583.1	450000	500000	53.318	0	0	3	60
CM065583.1	500000	550000	55.278	0	0	7	140
CM065583.1	550000	600000	55.166	0	0	7	140
CM065583.1	600000	650000	53.412	0	0	5	100
CM065583.1	650000	700000	51.72	0	0	6	120
CM065583.1	700000	750000	52.248	0	0	4	80
CM065583.1	750000	800000	51.606	0	0	5	100
CM065583.1	800000	850000	52.216	0	0	5	100
CM065583.1	850000	900000	52.294	0	0	7	140
CM065583.1	900000	950000	56.012	0	0	3	60
CM065583.1	950000	1000000	49.028	0	0	4	80
CM065583.1	1000000	1050000	50.444	0	0	5	100
CM065583.1	1050000	1100000	53.162	0	0	6	120
CM065583.1	1100000	1150000	50.788	0	0	3	60
CM065583.1	1150000	1200000	50.946	0	0	4	80
CM065583.1	1200000	1250000	51.544	0	0	5	100
CM065583.1	1250000	1300000	52.648	0	0	7	140
CM065583.1	1300000	1350000	53.9	0	0	5	100
CM065583.1	1350000	1400000	51.776	0	0	2	40
CM065583.1	1400000	1450000	51.912	0	0	3	60
CM065583.1	1450000	1500000	53.344	0	0	2	40
CM065583.1	1500000	1550000	52.218	0	0	3	60
CM065583.1	1550000	1600000	51.562	0	0	2	40
CM065583.1	1600000	1650000	52.73	0	0	7	140
CM065583.1	1650000	1700000	52.016	0	0	4	80
CM065583.1	1700000	1750000	52.132	0	0	7	140
CM065583.1	1750000	1800000	49.018	0	0	5	100
CM065583.1	1800000	1850000	50.648	0	0	4	80
CM065583.1	1850000	1900000	53.362	0	0	1	20
CM065583.1	1900000	1950000	52.378	0	0	5	100
CM065583.1	1950000	2000000	55.254	0	0	5	100
CM065583.1	2000000	2050000	52.398	0	0	7	140
CM065583.1	2050000	2100000	54.288	0	0	7	140
CM065583.1	2100000	2150000	51.688	0	0	3	60
CM065583.1	2150000	2200000	52.774	0	0	5	100
CM065583.1	2200000	2250000	52.136	0	0	3	60
CM065583.1	2250000	2300000	52.312	0	0	2	40
CM065583.1	2300000	2350000	52.47	0	0	5	100
CM065583.1	2350000	2400000	53.182	0	0	5	100
CM065583.1	2400000	2450000	50.22	0	0	4	80
CM065583.1	2450000	2500000	54.404	0	0	4	80
CM065583.1	2500000	2550000	52.324	0	0	6	120
CM065583.1	2550000	2600000	54.842	0	0	4	80
CM065583.1	2600000	2650000	55.258	0	0	3	60
CM065583.1	2650000	2700000	53.236	0	0	7	140
CM065583.1	2700000	2750000	53.682	0	0	4	80
CM065583.1	2750000	2800000	51.636	0	0	6	120
CM065583.1	2800000	2850000	50.114	0	0	6	120
CM065583.1	2850000	2900000	52.37	0	0	5	100
CM065583.1	2900000	2950000	52.576	0	0	5	100
CM065583.1	2950000	3000000	55.512	0	0	2	40
CM065583.1	3000000	3050000	55.034	0	0	3	60
CM065583.1	3050000	3100000	51.436	0	0	3	60
CM065583.1	3100000	3150000	50.452	0	0	5	100
CM065583.1	3150000	3200000	50.186	0	0	7	140
CM065583.1	3200000	3250000	52.794	0	0	7	140
CM065583.1	3250000	3300000	55.284	0	0	3	60
CM065583.1	3300000	3350000	54.432	0	0	5	100
CM065583.1	3350000	3400000	51.732	0	0	7	140
CM065583.1	3400000	3450000	53.082	0	0	4	80
CM065583.1	3450000	3500000	53.6	0	0	6	120
CM065583.1	3500000	3550000	51.736	0	0	5	100
CM065583.1	3550000	3600000	52.754	0	0	5	100
CM065583.1	3600000	3650000	53.988	0	0	5	100
CM065583.1	3650000	3700000	52.852	0	0	2	40
CM065583.1	3700000	3750000	50.134	0	0	1	20
CM065583.1	3750000	3800000	54.388	0	0	3	60
CM065583.1	3800000	3850000	52.408	0	0	6	120
CM065583.1	3850000	3900000	53.82	0	0	5	100
CM065583.1	3900000	3950000	55.002	0	0	5	100
CM065583.1	3950000	4000000	54.058	0	0	5	100
CM065583.1	4000000	4050000	54.436	0	0	2	40
CM065583.1	4050000	4100000	51.726	0	0	6	120
CM065583.1	4100000	4150000	53.322	0	0	2	40
CM065583.1	4150000	4200000	50.33	0	0	3	60
CM065583.1	4200000	4250000	51.906	0	0	6	120
CM065583.1	4250000	4300000	54.224	0	0	4	80
CM065583.1	4300000	4350000	53.622	0	0	6	120
CM065583.1	4350000	4400000	60.108	0	0	1	20
CM065583.1	4400000	4450000	52.44	0	0	6	120
CM065583.1	4450000	4500000	50.526	0	0	3	60
CM065583.1	4500000	4550000	53.026	0	0	2	40
CM065583.1	4550000	4600000	57.662	0	0	4	80
CM065583.1	4600000	4650000	53.952	0	0	2	40
CM065583.1	4650000	4653937	47.0663	0	0	0	0
CM065584.1	0	50000	53.236	0	0	9	180
CM065584.1	50000	100000	52.8	0	0	5	100
CM065584.1	100000	150000	51.808	0	0	5	100
CM065584.1	150000	200000	52.622	0	0	2	40
CM065584.1	200000	250000	51.138	0	0	5	100
CM065584.1	250000	300000	50.436	0	0	3	60
CM065584.1	300000	350000	53.03	0	0	3	60
CM065584.1	350000	400000	51.864	0	0	4	80
CM065584.1	400000	450000	51.042	0	0	3	60
CM065584.1	450000	500000	52.804	0	0	4	80
CM065584.1	500000	550000	51.76	0	0	6	120
CM065584.1	550000	600000	50.46	0	0	5	100
CM065584.1	600000	650000	50.282	0	0	5	100
CM065584.1	650000	700000	51.37	0	0	7	140
CM065584.1	700000	750000	52.716	0	0	3	60
CM065584.1	750000	800000	50.954	0	0	6	120
CM065584.1	800000	850000	50.332	0	0	5	100
CM065584.1	850000	900000	49.964	0	0	3	60
CM065584.1	900000	950000	51.496	0	0	7	140
CM065584.1	950000	1000000	52.144	0	0	4	80
CM065584.1	1000000	1050000	54.94	0	0	2	40
CM065584.1	1050000	1100000	53.142	0	0	4	80
CM065584.1	1100000	1150000	53.054	0	0	7	140
CM065584.1	1150000	1200000	52.968	0	0	4	80
CM065584.1	1200000	1250000	52.458	0	0	5	100
CM065584.1	1250000	1300000	54.342	0	0	6	120
CM065584.1	1300000	1350000	54.398	0	0	5	100
CM065584.1	1350000	1400000	52.34	0	0	4	80
CM065584.1	1400000	1450000	52.322	0	0	3	60
CM065584.1	1450000	1500000	50.948	0	0	3	60
CM065584.1	1500000	1550000	52.874	0	0	4	80
CM065584.1	1550000	1600000	52.072	0	0	6	120
CM065584.1	1600000	1650000	52.756	0	0	6	120
CM065584.1	1650000	1700000	50.686	0	0	4	80
CM065584.1	1700000	1750000	52.102	0	0	1	20
CM065584.1	1750000	1800000	52.308	0	0	4	80
CM065584.1	1800000	1850000	51.936	0	0	4	80
CM065584.1	1850000	1900000	51.372	0	0	3	60
CM065584.1	1900000	1950000	50.714	0	0	6	120
CM065584.1	1950000	2000000	49.364	0	0	2	40
CM065584.1	2000000	2050000	51.748	0	0	5	100
CM065584.1	2050000	2100000	50.26	0	0	5	100
CM065584.1	2100000	2150000	51.24	0	0	3	60
CM065584.1	2150000	2200000	51.87	0	0	5	100
CM065584.1	2200000	2250000	50.204	0	0	3	60
CM065584.1	2250000	2300000	50.45	0	0	5	100
CM065584.1	2300000	2350000	51.956	0	0	4	80
CM065584.1	2350000	2400000	52.384	0	0	3	60
CM065584.1	2400000	2450000	53.614	0	0	4	80
CM065584.1	2450000	2500000	52.192	0	0	6	120
CM065584.1	2500000	2550000	54.942	0	0	3	60
CM065584.1	2550000	2600000	52.27	0	0	5	100
CM065584.1	2600000	2650000	51.214	0	0	1	20
